City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Hirara,JP,2020-10-15 00:10:16,24.8,125.28,80.6,74,40,8.05
202,Bereda,ES,2020-10-15 00:10:16,43.27,-7.54,53.01,100,50,3.0
203,Jumla,NP,2020-10-15 00:10:16,29.27,82.18,48.52,52,19,4.88
204,Valentin Gomez Farias,MX,2020-10-15 00:10:16,28.22,-106.58,84.99,23,100,5.99
205,Loksa,EE,2020-10-15 00:10:16,59.58,25.72,50.0,75,9,8.05
206,Zykovo,RU,2020-10-15 00:10:17,55.95,93.15,42.8,71,99,11.18
207,Uige,AO,2020-10-15 00:10:17,-7.61,15.06,68.18,95,100,2.35
208,Bethel,US,2020-10-15 00:10:17,41.37,-73.41,55.0,81,1,4.7
209,Salalah,OM,2020-10-15 00:10:17,17.02,54.09,78.8,78,40,2.24
210,Fereydun Kenar,IR,2020-10-15 00:10:17,36.69,52.52,64.98,58,0,2.95
211,Ilulissat,GL,2020-10-15 00:10:17,69.22,-51.1,33.8,74,92,2.24
212,Barcelona,ES,2020-10-15 00:07:10,41.39,2.16,55.0,76,41,8.05
213,Pacasmayo,PE,2020-10-15 00:10:17,-7.4,-79.57,64.62,81,13,11.16
214,Moa,CU,2020-10-15 00:10:17,20.66,-74.94,81.19,79,5,7.94
215,Seddon,AU,2020-10-15 00:10:17,-37.81,144.89,72.0,56,89,24.16
216,Nalobikha,RU,2020-10-15 00:10:18,53.2,84.6,41.43,72,99,15.08
217,Bonfim,BR,2020-10-15 00:10:18,3.08,-59.95,83.89,57,60,7.36
218,Nkhata Bay,MW,2020-10-15 00:10:18,-11.61,34.29,75.31,74,7,4.18
219,Punta Umbria,ES,2020-10-15 00:10:18,37.18,-6.97,59.0,44,19,7.0
220,Mecca,SA,2020-10-15 00:08:47,21.43,39.83,79.83,15,0,7.18
221,Cairns,AU,2020-10-15 00:09:32,-16.92,145.77,82.4,51,40,17.22
222,Gat,IL,2020-10-15 00:10:18,31.61,34.76,73.4,78,20,3.36
223,Nhulunbuy,AU,2020-10-15 00:10:18,-12.23,136.77,84.2,66,75,12.75
224,Omboue,GA,2020-10-15 00:10:18,-1.57,9.26,74.55,84,63,8.84
225,Merauke,ID,2020-10-15 00:10:18,-8.47,140.33,84.2,68,96,11.68
226,Husavik,IS,2020-10-15 00:10:19,66.04,-17.34,41.0,75,92,8.05
227,Sitio Novo Do Tocantins,BR,2020-10-15 00:10:19,-5.52,-47.46,82.04,55,47,3.27
228,Dekalb,US,2020-10-15 00:10:19,33.75,-84.23,73.0,64,1,6.15
229,Zhuhai,CN,2020-10-15 00:10:19,22.28,113.57,78.8,74,20,20.8
230,Elsfleth,DE,2020-10-15 00:08:30,53.24,8.46,48.0,76,64,11.01
231,Namibe,AO,2020-10-15 00:10:19,-15.2,12.15,65.66,81,68,3.67
232,Namatanai,PG,2020-10-15 00:10:19,-3.67,152.43,84.67,67,47,3.11
233,Quang Ngai,VN,2020-10-15 00:10:19,15.12,108.8,77.83,90,92,3.06
234,Atagay,RU,2020-10-15 00:10:19,55.1,99.39,30.81,96,68,5.95
235,Flin Flon,CA,2020-10-15 00:10:20,54.77,-101.86,32.0,88,75,14.99
236,Roma,US,2020-10-15 00:10:20,43.21,-75.46,51.8,53,1,3.36
237,Inhambane,MZ,2020-10-15 00:10:20,-23.86,35.38,66.16,83,14,9.08
238,Cootamundra,AU,2020-10-15 00:10:20,-34.65,148.03,68.4,69,15,11.83
239,Praia Da Vitoria,PT,2020-10-15 00:10:20,38.73,-27.07,69.01,94,20,9.98
240,Poso,ID,2020-10-15 00:10:20,-1.4,120.75,79.39,75,98,2.39
241,Benghazi,LY,2020-10-15 00:10:20,32.12,20.07,70.99,63,0,12.24
242,Laguna,US,2020-10-15 00:10:20,38.42,-121.42,93.2,10,75,14.99
243,Minot,US,2020-10-15 00:07:53,48.23,-101.3,41.0,38,1,19.46
244,Portland,US,2020-10-15 00:08:48,45.52,-122.68,64.0,55,40,3.36
245,Troitskoye,RU,2020-10-15 00:10:21,52.98,84.68,40.62,72,97,12.3
246,Atar,MR,2020-10-15 00:10:21,20.52,-13.05,88.12,37,45,6.29
247,Lavrentiya,RU,2020-10-15 00:10:21,65.58,-171.0,34.02,87,99,15.52
248,Trelleborg,SE,2020-10-15 00:10:21,55.38,13.16,48.2,75,99,14.99
249,Vardo,NO,2020-10-15 00:06:29,70.37,31.11,40.73,75,89,21.07
250,Mpika,ZM,2020-10-15 00:10:21,-11.83,31.45,65.07,81,23,10.33
251,Uspenka,UA,2020-10-15 00:10:21,48.39,39.16,60.22,83,27,9.42
252,Kandrian,PG,2020-10-15 00:10:21,-6.22,149.55,84.72,70,100,5.12
253,Dabat,ET,2020-10-15 00:10:21,12.98,37.77,50.92,88,72,3.24
254,Arman,RU,2020-10-15 00:10:21,59.7,150.17,37.67,76,99,7.0
255,Silvassa,IN,2020-10-15 00:10:22,20.27,73.02,77.04,77,100,3.15
256,Redlands,US,2020-10-15 00:07:26,34.06,-117.18,102.2,8,5,8.05
257,Turukhansk,RU,2020-10-15 00:10:22,65.82,87.98,23.86,98,71,8.9
258,Santa Marta,CO,2020-10-15 00:05:42,11.24,-74.2,84.0,78,100,4.0
259,Cayenne,GF,2020-10-15 00:10:18,4.93,-52.33,80.6,83,20,3.36
260,Waipawa,NZ,2020-10-15 00:10:22,-41.41,175.52,50.0,61,86,25.28
261,Souillac,MU,2020-10-15 00:10:22,-20.52,57.52,69.8,88,40,4.7
262,Matagami,CA,2020-10-15 00:10:22,49.75,-77.63,37.4,93,75,2.24
263,Ipora,BR,2020-10-15 00:10:22,-16.44,-51.12,79.86,54,22,3.78
264,Bodden Town,KY,2020-10-15 00:10:22,19.28,-81.25,84.2,79,20,6.17
265,Bichena,ET,2020-10-15 00:10:23,10.45,38.2,52.75,99,92,2.59
266,Virginia Beach,US,2020-10-15 00:09:28,36.85,-75.98,63.0,63,20,3.36
267,Latung,PH,2020-10-15 00:10:23,5.5,120.88,83.35,73,99,6.15
268,Tegh,AM,2020-10-15 00:10:23,39.56,46.48,49.66,67,0,1.72
269,Tiksi,RU,2020-10-15 00:10:23,71.69,128.87,11.52,94,0,3.65
270,Bjerkvik,NO,2020-10-15 00:10:23,68.56,17.52,41.0,80,100,11.41
271,Pedro Ii,BR,2020-10-15 00:10:15,-4.42,-41.46,76.26,39,25,4.99
272,Clyde River,CA,2020-10-15 00:10:23,70.47,-68.59,21.2,100,75,4.7
273,De Aar,ZA,2020-10-15 00:10:23,-30.65,24.01,63.86,27,0,3.31
274,Constitucion,CL,2020-10-15 00:10:24,-35.33,-72.42,53.4,89,8,5.19
275,Robertsport,LR,2020-10-15 00:10:24,6.75,-11.37,78.28,87,73,8.59
276,Kanash,RU,2020-10-15 00:10:24,55.51,47.5,44.6,87,10,6.71
277,San Quintin,MX,2020-10-15 00:10:24,30.48,-115.95,80.08,51,16,4.34
278,Waterfoot,GB,2020-10-15 00:10:24,53.69,-2.25,46.0,96,71,5.3
279,Chapais,CA,2020-10-15 00:10:24,49.78,-74.85,39.2,100,90,3.36
280,Kanadey,RU,2020-10-15 00:10:24,53.17,47.53,49.15,46,12,6.24
281,Kalyazin,RU,2020-10-15 00:10:24,57.24,37.84,49.15,91,100,8.68
282,Surt,LY,2020-10-15 00:10:25,31.21,16.59,71.58,67,0,19.15
283,Kumi,KR,2020-10-15 00:10:25,36.11,128.34,50.0,66,1,3.36
284,Albania,AL,2020-10-15 00:10:25,41.0,20.0,59.0,72,75,4.7
285,Sitka,US,2020-10-15 00:10:25,57.05,-135.33,48.2,81,75,8.05
286,Kaeo,NZ,2020-10-15 00:10:25,-35.1,173.78,68.0,58,3,5.01
287,Oswego,US,2020-10-15 00:10:25,43.45,-76.15,46.4,70,1,6.11
288,Trairi,BR,2020-10-15 00:10:25,-3.28,-39.27,78.94,76,42,11.56
289,Tromso,NO,2020-10-15 00:10:25,69.65,18.96,37.4,86,75,29.97
290,Hami,CN,2020-10-15 00:10:25,42.8,93.45,43.99,57,0,13.22
291,Dobryanka,RU,2020-10-15 00:10:26,58.46,56.42,44.6,100,75,6.71
292,Keshabpur,BD,2020-10-15 00:10:26,22.92,89.21,77.7,84,37,2.42
293,Iwanai,JP,2020-10-15 00:10:26,42.97,140.51,43.83,81,95,9.84
294,Shitkino,RU,2020-10-15 00:10:26,56.37,98.35,36.61,83,91,9.35
295,Sorland,NO,2020-10-15 00:10:26,67.67,12.69,45.18,77,100,10.65
296,Igarka,RU,2020-10-15 00:10:26,67.47,86.58,20.44,97,65,12.48
297,Kijang,KR,2020-10-15 00:10:26,35.24,129.21,55.4,50,9,8.05
298,College,US,2020-10-15 00:10:26,64.86,-147.8,26.6,63,90,3.18
299,La Orilla,MX,2020-10-15 00:10:27,17.98,-102.23,82.74,79,7,9.08
300,Kirensk,RU,2020-10-15 00:10:27,57.79,108.11,32.27,94,100,10.49
301,Mattru,SL,2020-10-15 00:10:27,7.62,-11.83,73.62,98,34,1.61
302,Jiazi,CN,2020-10-15 00:10:27,22.88,116.07,74.05,73,87,24.7
303,Maumere,ID,2020-10-15 00:10:27,-8.62,122.21,83.57,65,35,2.51
304,Smithers,CA,2020-10-15 00:10:27,54.78,-127.17,50.0,43,75,14.99
305,Margate,GB,2020-10-15 00:10:27,51.38,1.39,52.0,76,96,1.99
